"P_inst (d0=0,d1=0,d2=0,d3=0,d4=0) X","P_inst (d0=0,d1=0,d2=0,d3=0,d4=0) Y","P_inst (d0=0,d1=0,d2=0,d3=0,d4=1) X","P_inst (d0=0,d1=0,d2=0,d3=0,d4=1) Y","P_inst (d0=0,d1=0,d2=0,d3=1,d4=0) X","P_inst (d0=0,d1=0,d2=0,d3=1,d4=0) Y","P_inst (d0=0,d1=0,d2=0,d3=1,d4=1) X","P_inst (d0=0,d1=0,d2=0,d3=1,d4=1) Y","P_inst (d0=0,d1=0,d2=1,d3=0,d4=0) X","P_inst (d0=0,d1=0,d2=1,d3=0,d4=0) Y","P_inst (d0=0,d1=0,d2=1,d3=0,d4=1) X","P_inst (d0=0,d1=0,d2=1,d3=0,d4=1) Y","P_inst (d0=0,d1=0,d2=1,d3=1,d4=0) X","P_inst (d0=0,d1=0,d2=1,d3=1,d4=0) Y","P_inst (d0=0,d1=0,d2=1,d3=1,d4=1) X","P_inst (d0=0,d1=0,d2=1,d3=1,d4=1) Y","P_inst (d0=0,d1=1,d2=0,d3=0,d4=0) X","P_inst (d0=0,d1=1,d2=0,d3=0,d4=0) Y","P_inst (d0=0,d1=1,d2=0,d3=0,d4=1) X","P_inst (d0=0,d1=1,d2=0,d3=0,d4=1) Y","P_inst (d0=0,d1=1,d2=0,d3=1,d4=0) X","P_inst (d0=0,d1=1,d2=0,d3=1,d4=0) Y","P_inst (d0=0,d1=1,d2=0,d3=1,d4=1) X","P_inst (d0=0,d1=1,d2=0,d3=1,d4=1) Y","P_inst (d0=0,d1=1,d2=1,d3=0,d4=0) X","P_inst (d0=0,d1=1,d2=1,d3=0,d4=0) Y","P_inst (d0=0,d1=1,d2=1,d3=0,d4=1) X","P_inst (d0=0,d1=1,d2=1,d3=0,d4=1) Y","P_inst (d0=0,d1=1,d2=1,d3=1,d4=0) X","P_inst (d0=0,d1=1,d2=1,d3=1,d4=0) Y","P_inst (d0=0,d1=1,d2=1,d3=1,d4=1) X","P_inst (d0=0,d1=1,d2=1,d3=1,d4=1) Y","P_inst (d0=1,d1=0,d2=0,d3=0,d4=0) X","P_inst (d0=1,d1=0,d2=0,d3=0,d4=0) Y","P_inst (d0=1,d1=0,d2=0,d3=0,d4=1) X","P_inst (d0=1,d1=0,d2=0,d3=0,d4=1) Y","P_inst (d0=1,d1=0,d2=0,d3=1,d4=0) X","P_inst (d0=1,d1=0,d2=0,d3=1,d4=0) Y","P_inst (d0=1,d1=0,d2=0,d3=1,d4=1) X","P_inst (d0=1,d1=0,d2=0,d3=1,d4=1) Y","P_inst (d0=1,d1=0,d2=1,d3=0,d4=0) X","P_inst (d0=1,d1=0,d2=1,d3=0,d4=0) Y","P_inst (d0=1,d1=0,d2=1,d3=0,d4=1) X","P_inst (d0=1,d1=0,d2=1,d3=0,d4=1) Y","P_inst (d0=1,d1=0,d2=1,d3=1,d4=0) X","P_inst (d0=1,d1=0,d2=1,d3=1,d4=0) Y","P_inst (d0=1,d1=0,d2=1,d3=1,d4=1) X","P_inst (d0=1,d1=0,d2=1,d3=1,d4=1) Y","P_inst (d0=1,d1=1,d2=0,d3=0,d4=0) X","P_inst (d0=1,d1=1,d2=0,d3=0,d4=0) Y","P_inst (d0=1,d1=1,d2=0,d3=0,d4=1) X","P_inst (d0=1,d1=1,d2=0,d3=0,d4=1) Y","P_inst (d0=1,d1=1,d2=0,d3=1,d4=0) X","P_inst (d0=1,d1=1,d2=0,d3=1,d4=0) Y","P_inst (d0=1,d1=1,d2=0,d3=1,d4=1) X","P_inst (d0=1,d1=1,d2=0,d3=1,d4=1) Y","P_inst (d0=1,d1=1,d2=1,d3=0,d4=0) X","P_inst (d0=1,d1=1,d2=1,d3=0,d4=0) Y","P_inst (d0=1,d1=1,d2=1,d3=0,d4=1) X","P_inst (d0=1,d1=1,d2=1,d3=0,d4=1) Y","P_inst (d0=1,d1=1,d2=1,d3=1,d4=0) X","P_inst (d0=1,d1=1,d2=1,d3=1,d4=0) Y","P_inst (d0=1,d1=1,d2=1,d3=1,d4=1) X","P_inst (d0=1,d1=1,d2=1,d3=1,d4=1) Y"
2.621476974030975e-08,1.238332104442737e-07,2.038479505514625e-08,-8.051573818652656e-05,2.039343417967099e-08,-8.107578471105127e-05,2.038670554786386e-08,-7.984907970909081e-05,2.04e-08,-7.71165711301755e-05,2.038054026007041e-08,-7.752916879386334e-05,2.038528752566814e-08,-7.754827864635483e-05,2.04e-08,-7.28604833639223e-05,2.04e-08,-7.271340370206809e-05,2.038384070681998e-08,-7.841804149901553e-05,2.038532602980004e-08,-7.823823157010732e-05,2.039309666112155e-08,-8.5611858533349e-05,2.039343158626205e-08,-8.108207118294274e-05,2.03881149879819e-08,-7.444311155121689e-05,2.038528864748272e-08,-7.754988990868338e-05,2.040344890393172e-08,-6.753792796482912e-05,2.040345409399317e-08,-6.753664503629951e-05,2.038395376763357e-08,-7.909037916969284e-05,2.03853255768119e-08,-7.823667591774976e-05,2.039325304928659e-08,-8.568778339613353e-05,2.038533169657606e-08,-7.823230871913234e-05,2.039170509497868e-08,-7.500701527118531e-05,2.038528822389505e-08,-7.754963244928482e-05,2.04e-08,-7.278200740479323e-05,2.04e-08,-7.271795381295778e-05,2.038079500590305e-08,-7.768535059594516e-05,2.038532534218363e-08,-7.823609985646075e-05,2.04e-08,-7.281369433211608e-05,2.039343343455051e-08,-8.107744337548895e-05,2.03869297576978e-08,-7.98469920839028e-05,2.038528893152184e-08,-7.755034403247956e-05,2.621476953891693e-08,1.23833161772017e-07
3.02e-08,-1.257083867862926e-07,2.039301971533907e-08,-7.870617379573053e-05,2.04e-08,-7.71262215740425e-05,2.039335277393193e-08,-7.97998279856156e-05,2.040345194242109e-08,-6.750200906003205e-05,2.038816200253673e-08,-8.004892377843658e-05,2.039338603715868e-08,-8.176952213447735e-05,2.040343600156773e-08,-6.754144345406172e-05,2.040345260203251e-08,-6.753763173778256e-05,2.039189175971451e-08,-8.060914818394934e-05,2.039343204636659e-08,-8.108108328436467e-05,2.04e-08,-7.265575304215004e-05,2.04e-08,-7.712108586586267e-05,2.039405749399095e-08,-8.532805013637551e-05,2.039338736721243e-08,-8.176736283902265e-05,2.040787183097246e-08,-6.418267195818329e-05,2.040789569402348e-08,-6.417128842587565e-05,2.039203643045878e-08,-7.996137292975719e-05,2.039343150836326e-08,-8.108312791939697e-05,2.04e-08,-7.255172865109336e-05,2.039343879421623e-08,-8.109028393898281e-05,2.04e-08,-8.34108310512303e-05,2.039338686422895e-08,-8.176801684863499e-05,2.040344177209138e-08,-6.754016817570214e-05,2.040345356981505e-08,-6.753700530626698e-05,2.038851435346824e-08,-8.004839138982135e-05,2.039343123041318e-08,-8.108305149930106e-05,2.040341457173334e-08,-6.755331051748386e-05,2.04e-08,-7.712521720614599e-05,2.03934648788489e-08,-7.982503673996288e-05,2.039338770418285e-08,-8.176668308680585e-05,3.02e-08,-1.257083382516602e-07
3.025e-08,1.421485816201537e-05,2.04e-08,-7.956148910506822e-05,2.040345274272421e-08,-6.750175317580215e-05,2.04e-08,-7.842213309755606e-05,2.040789022496621e-08,-6.413797175927994e-05,2.039408100126837e-08,-7.971607644933935e-05,2.04e-08,-7.644323772136486e-05,2.040780329674132e-08,-6.421652514588475e-05,2.040789125617572e-08,-6.417374435119518e-05,2.04e-08,-7.778230364310061e-05,2.04e-08,-7.712231700710429e-05,2.040349909567482e-08,-6.749205046546484e-05,2.040345306368026e-08,-6.750191834132726e-05,2.04e-08,-7.277501010070441e-05,2.04e-08,-7.64445997285653e-05,2.041196862707394e-08,-6.245017114823626e-05,2.041201571529998e-08,-6.242735277497727e-05,2.04e-08,-7.841361693169084e-05,2.04e-08,-7.712084351666348e-05,2.040348454482266e-08,-6.749731576458282e-05,2.04e-08,-7.711466251168891e-05,2.040382479685169e-08,-6.728614785181924e-05,2.04e-08,-7.64444254818125e-05,2.040783567017962e-08,-6.420069981358162e-05,2.040789413357953e-08,-6.417216692328469e-05,2.039425717673412e-08,-7.972168405816064e-05,2.04e-08,-7.712036959073625e-05,2.040772273843359e-08,-6.425909973819936e-05,2.04034528352048e-08,-6.750195302848194e-05,2.04e-08,-7.837574060069505e-05,2.04e-08,-7.644499613235293e-05,3.025e-08,1.421485967346295e-05
3.029939188217312e-08,1.061843038409512e-05,2.040371601025471e-08,-6.733015330410553e-05,2.040789260426449e-08,-6.413692440611101e-05,2.040348006105936e-08,-6.749781998731642e-05,2.041200605717965e-08,-6.239642081761622e-05,2.04e-08,-7.837378957320985e-05,2.040345872784404e-08,-6.750017839422236e-05,2.041183000961971e-08,-6.251869908111029e-05,2.041200786009734e-08,-6.243140196980018e-05,2.040384324251932e-08,-6.726459499703822e-05,2.040345300781327e-08,-6.750210475911038e-05,2.040796967388778e-08,-6.412215082302251e-05,2.040789356055266e-08,-6.413675371017958e-05,2.040338290509414e-08,-6.754756920676932e-05,2.040345856259503e-08,-6.749999419207602e-05,2.04201622192769e-08,-5.78579971545612e-05,2.042025575785298e-08,-5.781031332559349e-05,2.040383740152478e-08,-6.72639937812885e-05,2.040345307469351e-08,-6.750229565990792e-05,2.040791153805413e-08,-6.415148504057562e-05,2.040345217451288e-08,-6.750377526641208e-05,2.0408821566995e-08,-6.370041664924663e-05,2.040345862526181e-08,-6.750014794676708e-05,2.041189603499437e-08,-6.248618757569616e-05,2.041201295327755e-08,-6.242879191728913e-05,2.04e-08,-7.833251637770045e-05,2.040345310867251e-08,-6.75019971660822e-05,2.041167788838901e-08,-6.259548307186501e-05,2.040789287929163e-08,-6.41370218982234e-05,2.040347329155036e-08,-6.749913351674905e-05,2.04034585206637e-08,-6.749990923845644e-05,3.029939188217312e-08,1.061843086597293e-05
3.034969594108656e-08,5.220606508493882e-06,2.040845952922726e-08,-6.388125150775351e-05,2.041201026957117e-08,-6.239451296231549e-05,2.040788336488904e-08,-6.416573710914262e-05,2.042023772160652e-08,-5.778563550926624e-05,2.040340383047383e-08,-6.752882872785845e-05,2.040791035338966e-08,-6.412945112094066e-05,2.041988343537651e-08,-5.800082700669128e-05,2.042024106794057e-08,-5.78181444177502e-05,2.040883787295019e-08,-6.36849250835186e-05,2.040789339158028e-08,-6.413699387900394e-05,2.041222010527207e-08,-6.230643110618761e-05,2.04120119620741e-08,-6.239398334263426e-05,2.04075515593495e-08,-6.433520812167384e-05,2.040790986274679e-08,-6.412944236948631e-05,2.043119350241035e-08,-5.237727732636431e-05,2.043128916713304e-08,-5.233027085259842e-05,2.040881090280605e-08,-6.369673159752768e-05,2.040789359025137e-08,-6.413710913218774e-05,2.041212694276116e-08,-6.235045813140903e-05,2.0407890907555e-08,-6.413944065745518e-05,2.041355704012164e-08,-6.152626512116204e-05,2.040791004845623e-08,-6.412952662061854e-05,2.042001676462385e-08,-5.793273651525423e-05,2.04202505926736e-08,-5.78130822122561e-05,2.040338573206875e-08,-6.75368330982701e-05,2.040789369223422e-08,-6.413678730037147e-05,2.041958818829984e-08,-5.815488522056434e-05,2.041201075619169e-08,-6.239450178695503e-05,2.040784807538478e-08,-6.418335916171821e-05,2.040790973837323e-08,-6.412940334760013e-05,3.034969594108656e-08,5.220606543295643e-06
3.04e-08,8.209933744864192e-06,2.041289221532021e-08,-6.184867904000663e-05,2.042024560018454e-08,-5.778168499174409e-05,2.041208085585631e-08,-6.237216579135434e-05,2.043127658363197e-08,-5.230531332755653e-05,2.040758660619466e-08,-6.431194746696113e-05,2.04120416778512e-08,-6.238061481613347e-05,2.043091525692989e-08,-5.251544676135468e-05,2.043127198023133e-08,-5.23388699622096e-05,2.041356392364117e-08,-6.151501894233949e-05,2.041201166270485e-08,-6.239428031291909e-05,2.042072096804066e-08,-5.755725627510268e-05,2.042024876511699e-08,-5.778031347421122e-05,2.041155208336502e-08,-6.26309695691893e-05,2.041204081013874e-08,-6.238079351505001e-05,2.04462829994941e-08,-4.508521846155885e-05,2.044639670704151e-08,-4.503702655486987e-05,2.041351034816259e-08,-6.153929690598803e-05,2.041201201416614e-08,-6.239431542784594e-05,2.042055775217522e-08,-5.764196888304329e-05,2.041200726357676e-08,-6.239757668103075e-05,2.042302798637492e-08,-5.64331209829075e-05,2.041204113848529e-08,-6.238080384497986e-05,2.043104728552309e-08,-5.244994441873907e-05,2.043128311497071e-08,-5.233331299378953e-05,2.040751357201138e-08,-6.435044129941559e-05,2.041201219494333e-08,-6.239396682751476e-05,2.043059442612689e-08,-5.267573036673455e-05,2.042024650999181e-08,-5.778142153673045e-05,2.041202348392755e-08,-6.239898006762976e-05,2.041204059021599e-08,-6.238080338253667e-05,3.04e-08,8.209933736964959e-06
3.040720794532457e-08,-1.502467729427245e-08,2.042175758750611e-08,-5.709278757883718e-05,2.043128576834051e-08,-5.23009449271229e-05,2.042047583779085e-08,-5.768426290486235e-05,2.044638952601056e-08,-4.501294516532636e-05,2.041160411564821e-08,-6.260106924904609e-05,2.042030432677427e-08,-5.775254694139358e-05,2.044596116308427e-08,-4.522207797855003e-05,2.044637356728078e-08,-4.50471963456164e-05,2.042301602502314e-08,-5.64336985193185e-05,2.042024820495399e-08,-5.778074600834915e-05,2.043194216970217e-08,-5.199259541669899e-05,2.043128949010354e-08,-5.229936679988348e-05,2.041955313139608e-08,-5.81738978343906e-05,2.042030270492263e-08,-5.775316348132029e-05,2.046617806306764e-08,-3.730913021288302e-05,2.046631695724238e-08,-3.725889004769897e-05,2.042290923887565e-08,-5.648783950314214e-05,2.04202488619957e-08,-5.778059581819568e-05,2.043177407709084e-08,-5.207336343044924e-05,2.042023997562026e-08,-5.778608279894274e-05,2.043494357231695e-08,-5.042378160673259e-05,2.042030331854342e-08,-5.775300251683704e-05,2.044611248507645e-08,-4.515791194577164e-05,2.044638854806344e-08,-4.504062465930331e-05,2.041148622765074e-08,-6.265774170654837e-05,2.042024920036155e-08,-5.778017872328986e-05,2.044555706779156e-08,-4.539768411783911e-05,2.043128683693961e-08,-5.230060977449116e-05,2.042037430101309e-08,-5.773660408846952e-05,2.04203022939015e-08,-5.775328689670209e-05,3.040720794532457e-08,-1.502467732380662e-08
3.042078742811376e-08,6.329911758873953e-09,2.043354321012786e-08,-5.109205881642594e-05,2.044640185477349e-08,-4.500772560619659e-05,2.043170130018714e-08,-5.210837376683565e-05,2.046632018653083e-08,-3.723524997919006e-05,2.041963913455532e-08,-5.812330744814663e-05,2.043135419623875e-08,-5.226869044872401e-05,2.046579892918051e-08,-3.744755061468831e-05,2.046628456610608e-08,-3.72707094635005e-05,2.043499921708796e-08,-5.039191839413214e-05,2.043128881917e-08,-5.229982365733501e-05,2.044736059253585e-08,-4.461271754356563e-05,2.044640688715091e-08,-4.50057603413939e-05,2.043066782838656e-08,-5.261433571078628e-05,2.043135229136277e-08,-5.226941968278077e-05,2.049800152954734e-08,-2.709271624199478e-05,2.049825174921377e-08,-2.702669997304878e-05,2.04348941818071e-08,-5.044055268042145e-05,2.043128959029871e-08,-5.229961803611463e-05,2.04471527190727e-08,-4.470190243178561e-05,2.043127920091717e-08,-5.230548997389849e-05,2.045158117488828e-08,-4.290909698104585e-05,2.043135301098289e-08,-5.226920947787223e-05,2.04659749241291e-08,-3.738328968881419e-05,2.046630552165552e-08,-3.726307270247852e-05,2.041943153892948e-08,-5.823253952077549e-05,2.043128998874295e-08,-5.229920541910086e-05,2.046527210131727e-08,-3.764086731502688e-05,2.044640329801826e-08,-4.500726430042996e-05,2.043160532216192e-08,-5.215438990120506e-05,2.043135180891997e-08,-5.226957475878411e-05,3.042078742811376e-08,6.329911793124578e-09
3.043332463926374e-08,-7.986304438234904e-09,2.044976065458565e-08,-4.366893903342706e-05,2.046633739383677e-08,-3.722913740129055e-05,2.044707572973111e-08,-4.473459557481425e-05,2.04982623128273e-08,-2.700730148758686e-05,2.04308139523733e-08,-5.253925868997725e-05,2.04464936819703e-08,-4.496910969081987e-05,2.049732362822099e-08,-2.727207850432593e-05,2.04981928262826e-08,-2.70425652123458e-05,2.045173174397605e-08,-4.284178998896166e-05,2.044640596570436e-08,-4.500627047874221e-05,2.046778839943485e-08,-3.671597811248339e-05,2.046634446708562e-08,-3.72267609453265e-05,2.044570962159536e-08,-4.533264199834329e-05,2.044649110825276e-08,-4.497004634163771e-05,2.055819188747389e-08,-1.489654844454718e-05,2.055866704361879e-08,-1.482368328349269e-05,2.045161041650888e-08,-4.289089866319608e-05,2.044640700646863e-08,-4.500596931636779e-05,2.046752230152225e-08,-3.680952580698426e-05,2.044639302466947e-08,-4.501269615586e-05,2.047397921826812e-08,-3.445139274806942e-05,2.044649207919903e-08,-4.496974966295951e-05,2.049763736308715e-08,-2.71891390616143e-05,2.049823093922383e-08,-2.703230981409147e-05,2.043059431336069e-08,-5.264646733452352e-05,2.044640754625124e-08,-4.500554732712925e-05,2.049638082460482e-08,-2.752673261480303e-05,2.046633941989826e-08,-3.722854119010234e-05,2.04469667472961e-08,-4.478101016286164e-05,2.044649045681466e-08,-4.497025772843686e-05,3.043332463926374e-08,-7.986304463682485e-09
3.045839906156369e-08,6.319596677608123e-09,2.04715599652475e-08,-3.526975272392281e-05,2.049829360070196e-08,-2.699900496782071e-05,2.046744316329106e-08,-3.683712794702627e-05,2.055871491441927e-08,-1.480725135987781e-05,2.044595324404979e-08,-4.522118010792991e-05,2.046646554612555e-08,-3.718384712170101e-05,2.055693545354879e-08,-1.509135419377613e-05,2.055854635916038e-08,-1.484216781671644e-05,2.047429712724139e-08,-3.434037641377806e-05,2.046634315241408e-08,-3.722732718255311e-05,2.050101529917176e-08,-2.629191420367904e-05,2.049830647797251e-08,-2.699569028411104e-05,2.046556812244589e-08,-3.751036325727666e-05,2.046646193040467e-08,-3.718500453082832e-05,2.067857260332699e-08,-3.696388264660645e-06,2.067949763242883e-08,-3.652756357313059e-06,2.047415548240381e-08,-3.438660171308301e-05,2.046634461244002e-08,-3.72269236186566e-05,2.050053379213372e-08,-2.64177328298487e-05,2.0466325046978e-08,-3.723454047082723e-05,2.051265155506922e-08,-2.351049972318315e-05,2.046646329249852e-08,-3.718461535818035e-05,2.055751168726007e-08,-1.500171905398634e-05,2.055862439074121e-08,-1.483021802239477e-05,2.044567675002421e-08,-4.53421781508108e-05,2.046634537301982e-08,-3.722649373392324e-05,2.055508061881411e-08,-1.538265472213442e-05,2.049829728717823e-08,-2.699811802222928e-05,2.046731823819665e-08,-3.688083246249867e-05,2.046646101582842e-08,-3.718527607329436e-05,3.045839906156369e-08,6.319596717546327e-09
3.05085479061636e-08,-7.991353040405338e-09,2.050787595258504e-08,-2.465409549052028e-05,2.055877891219756e-08,-1.479753258317724e-05,2.050039547534817e-08,-2.645355116978921e-05,2.067962011760322e-08,-3.644229199039787e-06,2.046597243055127e-08,-3.736128451260101e-05,2.049852679212949e-08,-2.693739158011914e-05,2.067615910420441e-08,-3.811237186496576e-06,2.067925342491593e-08,-3.664529688125475e-06,2.05132602933741e-08,-2.336508317220897e-05,2.049830407617841e-08,-2.69964000532398e-05,2.05647216194039e-08,-1.39140730606259e-05,2.055880533933194e-08,-1.479357481993334e-05,2.049701848157454e-08,-2.735862086140403e-05,2.049852020218854e-08,-2.693904353275797e-05,2.086443696745523e-08,-2.537718002327027e-07,2.086532503433432e-08,-2.5142149548676e-07,2.051297122924906e-08,-2.343182504402559e-05,2.049830673218889e-08,-2.699578021543247e-05,2.056379502436221e-08,-1.404709724493577e-05,2.049827112796763e-08,-2.700570998061347e-05,2.058999622867143e-08,-1.054462881272006e-05,2.049852268338552e-08,-2.693845589123943e-05,2.067726033560592e-08,-3.758677345392039e-06,2.067941129377597e-08,-3.656916972934195e-06,2.046561292310579e-08,-3.749050188653906e-05,2.049830811994441e-08,-2.699529513440376e-05,2.067248020723269e-08,-3.995453152453249e-06,2.055878646812835e-08,-1.479643477151403e-05,2.050017377076941e-08,-2.651133007538767e-05,2.049851853583461e-08,-2.693944570548443e-05,3.05085479061636e-08,-7.991353066098751e-09
3.060884559536342e-08,6.320819470177287e-09,2.058026207300732e-08,-1.170293143902463e-05,2.067974953518877e-08,-3.638030550654895e-06,2.05635786655443e-08,-1.407791347123919e-05,2.086551613651022e-08,-2.504005288639035e-07,2.049775869212191e-08,-2.715465424926446e-05,2.055925604475921e-08,-1.472533676703897e-05,2.086233529488148e-08,-2.583244680498663e-07,2.086502455899806e-08,-2.525472805167468e-07,2.059118662563952e-08,-1.04091514750699e-05,2.055880036661986e-08,-1.479436963112423e-05,2.069213425986818e-08,-3.080408739535982e-06,2.067980306205081e-08,-3.635481999524192e-06,2.055678013317858e-08,-1.509706924924896e-05,2.055924251847258e-08,-1.472733162830635e-05,2.111115529130291e-08,1.363762389474024e-07,2.111219606472365e-08,1.352730367357967e-07,2.059060272293956e-08,-1.047460074019068e-05,2.055880580722389e-08,-1.479358976732005e-05,2.069031748881919e-08,-3.158008617803885e-06,2.055873284414442e-08,-1.480493534587367e-05,2.074468557587583e-08,-1.448364025003033e-06,2.055924760489975e-08,-1.47266001838137e-05,2.086325655339223e-08,-2.565322209081733e-07,2.086521878044774e-08,-2.51819125804766e-07,2.049712215099788e-08,-2.73267807891273e-05,2.055880866875714e-08,-1.47930914646407e-05,2.085824936389617e-08,-2.727292384260286e-07,2.06797648300286e-08,-3.637311024134232e-06,2.05631894236445e-08,-1.413389442603592e-05,2.055923910057084e-08,-1.472782725807165e-05,3.060884559536342e-08,6.320819510217779e-09
3.080944097376305e-08,-7.991841601081938e-09,2.07250343138519e-08,-1.986538150265197e-06,2.086567509237377e-08,-2.498117036569915e-07,2.068994504593657e-08,-3.173407339470113e-06,2.111249397337648e-08,1.351839023123904e-07,2.055842619292664e-08,-1.484241863483478e-05,2.068071455001865e-08,-3.592076310824264e-06,2.110891971754944e-08,1.39773948002781e-07,2.111177052934794e-08,1.354377029670987e-07,2.074703929017037e-08,-1.39134579120989e-06,2.067979294750276e-08,-3.635976903974116e-06,2.088281643793929e-08,-1.794691824286484e-07,2.086574061994808e-08,-2.495713912514445e-07,2.067630343638666e-08,-3.809710923881188e-06,2.068068715104065e-08,-3.593363402639837e-06,2.147362025261137e-08,-1.292788829514924e-07,2.147491801171335e-08,-1.282454182861121e-07,2.074586571032056e-08,-1.419599694564462e-06,2.067980395729388e-08,-3.63546190215804e-06,2.088099266409554e-08,-1.816507521693851e-07,2.067965627649801e-08,-3.642602727939661e-06,2.095052828949073e-08,6.625449236204928e-08,2.068069744792822e-08,-3.592884522614721e-06,2.110985630354484e-08,1.381300823583788e-07,2.111204557804788e-08,1.353311777328854e-07,2.055719226578145e-08,-1.503086309092513e-05,2.067980976638261e-08,-3.635167265032822e-06,2.110349057424282e-08,1.433825607626769e-07,2.086569367350071e-08,-2.497447536891488e-07,2.068922072939469e-08,-3.20433111491542e-06,2.068068023004329e-08,-3.59368637910842e-06,3.080944097376305e-08,-7.99184162685452e-09
3.121063173056233e-08,6.321041545901744e-09,2.09281879197475e-08,5.861942593432075e-08,2.111271889022791e-08,1.350969479376908e-07,2.088095049975092e-08,-1.793452964397861e-07,2.147542468722111e-08,-1.28212131248756e-07,2.06797611945361e-08,-3.637810465148034e-06,2.086686017166614e-08,-2.454691454356257e-07,2.147123562133347e-08,-1.326168528679295e-07,2.147425978931666e-08,-1.2835591853733e-07,2.095476469695526e-08,7.171522066657044e-08,2.086572802353386e-08,-2.496193374084497e-07,2.113876994372735e-08,1.217796706857173e-07,2.111281134911838e-08,1.350615160277965e-07,2.086497550487592e-08,-2.203935729765806e-07,2.086682671735514e-08,-2.455889315090542e-07,2.2148610993728e-08,1.25592451847524e-07,2.215189092239896e-08,1.245723293364269e-07,2.095372128106792e-08,7.25331769575052e-08,2.086574135485149e-08,-2.495717179833776e-07,2.11365507947589e-08,1.220964530866315e-07,2.086555883391344e-08,-2.502568204449231e-07,2.123733755427862e-08,-5.789711703747992e-08,2.086683921042639e-08,-2.455448589014695e-07,2.147214976739944e-08,-1.309781280730025e-07,2.147468520530648e-08,-1.282843926732167e-07,2.067733249534858e-08,-3.755763548741062e-06,2.086574876008998e-08,-2.495420601827997e-07,2.146337931507284e-08,-1.356416849375009e-07,2.111274496861808e-08,1.35087014757473e-07,2.088047302919571e-08,-1.781119684326837e-07,2.08668183027406e-08,-2.456187676381572e-07,3.121063173056233e-08,6.32104158596387e-09
3.201301324416088e-08,-7.991948246767372e-09,2.1206943682732e-08,-5.665833981011125e-08,2.147577235352728e-08,-1.281536786441111e-07,2.113686305765708e-08,1.219999235168854e-07,2.215307706799263e-08,1.245484877316224e-07,2.087006094290608e-08,-1.991356454923665e-07,2.111439563373378e-08,1.344518698567231e-07,2.214226792034048e-08,1.289150384598025e-07,2.215033830511205e-08,1.24673688229131e-07,2.124481415551776e-08,-5.885079625763427e-08,2.111279338127951e-08,1.350684277557194e-07,2.151877282379714e-08,-1.186395526612212e-07,2.147591494645553e-08,-1.281299129380395e-07,2.1114847457372e-08,1.265431485843017e-07,2.111434851147836e-08,1.344697361742659e-07,2.349859247596127e-08,-1.270712234667001e-07,2.350583674377017e-08,-1.260541994946204e-07,2.124371527492496e-08,-5.899645830941377e-08,2.111281204858008e-08,1.350613384026378e-07,2.151582889395069e-08,-1.188194685557715e-07,2.111255271563218e-08,1.351619197234246e-07,2.167996451770376e-08,5.443385621876406e-08,2.111436603125366e-08,1.344631257753098e-07,2.214477867218852e-08,1.272797966032917e-07,2.215134160223016e-08,1.24608067534651e-07,2.086748758158684e-08,-1.708610255308315e-07,2.111282278707348e-08,1.350570828770401e-07,2.212365335554346e-08,1.31839057521838e-07,2.147581237562767e-08,-1.281469896206826e-07,2.113655244223077e-08,1.220012454595955e-07,2.111433669431526e-08,1.344742013884287e-07,3.201301324416088e-08,-7.991948272549214e-09
3.361777627135797e-08,6.321093012428979e-09,2.163292416310466e-08,5.403465664400703e-08,2.215389841910106e-08,1.244948569825517e-07,2.151684911054722e-08,-1.189003406445555e-07,2.350838182953567e-08,-1.260329903007606e-07,2.112279259762894e-08,1.249423487869354e-07,2.147836488376061e-08,-1.277208768482732e-07,2.348433251835448e-08,-1.30391262090091e-07,2.350249533670282e-08,-1.261531538993829e-07,2.169414700216071e-08,5.473360246017315e-08,2.147588695251905e-08,-1.281344819441718e-07,2.22564626144274e-08,1.15642751106236e-07,2.215423569431403e-08,1.244730685499666e-07,2.148352881897222e-08,-1.20889216889967e-07,2.147829228527762e-08,-1.277328332974827e-07,2.61985554404278e-08,1.248638187734607e-07,2.621372838651261e-08,1.238478375771191e-07,2.169289994453457e-08,5.478456460463444e-08,2.147591554054684e-08,-1.281297000928991e-07,2.224861594064682e-08,1.157962367225456e-07,2.147551313927367e-08,-1.281970406975959e-07,2.256521844455403e-08,-5.614949820137892e-08,2.147831916733445e-08,-1.27728394013362e-07,2.349003648176669e-08,-1.287561772759084e-07,2.350465439607752e-08,-1.260890858024381e-07,2.111959453362935e-08,6.47244951754217e-08,2.147593250817824e-08,-1.281268937039383e-07,2.344420143648472e-08,-1.332899774904823e-07,2.215399319855432e-08,1.244887187447513e-07,2.15168897461512e-08,-1.190054263322735e-07,2.147827412920556e-08,-1.277358281517203e-07,3.361777627135797e-08,6.321093052487319e-09
